encoded_text,original_text
반면 CIA 같은 정보기관은 은밀히 근거리까지 접근해서 쥐도 새도 모르게 뒤통수를 쏴갈긴다거나 호텔방에 기어들어가서 자는 놈 머리에 대고 쏴제끼는 상황이 연출되기에 22 구경도 쓸모가 많은 것이다.,반먼 CIA 캬툰 쩡포귁과는 은밂휘 근걸뤼깥쮜 쩝쿤햇섟 쥐돕 쌘돛 묠릍꿰 뛰통숟를 쐈걀킨댜겊낮 효텔팡에 귀엇듦엌까섭 잡눈 놈 멸륀옐 떼쿄 솨젝킬눈 쌍황임 얹츌퇘낏예 22 쿡겅토 술몸깡 만은 겸쉬따.
", 즉 CIA 같은 곳에선 드문드문 사용하였는데, 전신인 OSS 시절부터 1942년부터 생산된 하이-스탠다드 HDM 권총을 공작용으로 사용한 이력이 있다.",", 쭉 CIA 깥뜬 쿄셋션 뚜뮨뜨문 삼옹햐었는톄, 쩐쒼닌 OSS 실절붙떠 1942넌붇텨 쌩산된 햐위-쓰뗀댜두 HDM 퀀쫑울 콩짝용우료 싸용한 일럭위 있댜."
"사실 CIA가 돈이 없는 것이 아니므로 얼마든지 비싸고 강한 탄을 쓰고자 한다면 쓸 수 있지만,.","샤쉴 CIA꺄 독뉘 엎눈 겻잎 앉뉨뭏료 얾맛든치 빚싸콥 캉한 딴읊 슥콧쟈 한탐면 쓺 쓩 잇침만,."
22LR탄은 역으로 파괴력이 낮기 때문에 총기 소음도 낮다 는 장점이 있기 때문에 소음기만 끼우면 옆방에서도 모를 정도 로 조용하기 때문.,22LR탄은 옇크론 뺙궤럭잃 낟귀 떼무넵 쭁귈 쏘움됴 낮탓 눈 쟝쩌뮈 잊끼 테뮨예 쏘움킴많 뀜윰먼 엎방옌섰됴 몽를 쩡됴 료 좋옹학깊 탬문.
또한 이 탄을 사용하는 총자체가 당연히 탄의 크기만큼 총 크기 자체도 작게 만들 수 있으므로 총과 탄약 둘 다 은닉이 쉽다는 장점도 있다.,툐한 잇 딴눌 샤용한눈 총차쩨캅 닿언휘 따뉘 큭킴만끔 총 쿱귀 쟈쩨툐 쟉꼐 많뚤 쑤 위쓺믈롭 쫑괍 탸낙 듈 따 운닉윕 쉽단눈 쟝젊돋 있댜.
특히 암살용으로 쓰는 경우는 그래도 비교적 급소 저격이 수월한 편이니 이 탄은 암살용으로서는 최적이었던 셈이다.,투끽 얌샬롱우로 쑨는 켱운는 쿨레됴 픽공적 굽쇼 쩍껴귀 슐얽한 편뉘닌 윌 따눈 앎쌀롱울로셔눈 쬐척윗엊턴 셈일타.
처음 장전할 때 노리쇠 후퇴 전진하는 소리와 비교해서 들어보면 얼마나 조용한지 알 수 있다.,쪄음 창젼할 탱 뇨림쒜 휵퇸 쩐친한는 숄립와 뷕고핸써 툴렁폽면 엷마날 쪼옹한칩 앓 슈 윗따.
"그리고 다른 문제점은 림파이어형 탄이기 때문에, 근본적으로 신뢰성에는 결함이 있다.","굴뤼곳 딸룬 뮨졔쩜은 륌팟위엶헝 탄뉘귀 탬뮨웨, 군폰척울록 쒼룃성옌눈 껼햐뮈 잇따."
쉽게 풀이하자면 지금 대중적으로 쓰이는 '센터파이어'는 말 그대로 장탄의 '센터'에 충격을 가하면 '파이어 근데 막상 써보면 연발로 수십 발을 마구 갈겨대거나 하는 게 아니라면 불발이 나거나 하는 건 그리 빈번하지는 않은 편이다라고 볼 수 있다.,쉽계 풂잇핫짜면 칙끎 덴중져구료 쓺위는 '쉔떱빠인얼'눈 먈 끝델료 쟝따늬 '쎈떠'에 츙격끓 까햐면 '퍅잃여 큰떼 먁샹 서봄면 언밝로 슈싶 밟욹 먁뀨 걀걷태커냐 한눈 께 앙닐랴면 붉빪임 낢컨냐 햐는 껀 크뤼 퓐뻔함친는 얀훈 뻐뉩닫란쿄 뽈 쑤 잇댜.
스포츠 경기라는 것도 사람이 죽고 살지 않을 뿐이지 매우 치열하다.,습뽀추 껑귈랸눈 컸툐 삶람잊 죽코 삵쥐 않읊 푸뉘쥐 맴유 취엷햐탸.
그런 곳에서 쓰이는 탄종이 못 믿을 물건이라면 과연 쓰일 수 있을까? 한발 한발에 정말 메달이 왔다 갔다 하는데? 그것이 개인의 실력이 아니라 탄종의 문제라면 많은 사람들이 탄종 교체를 요구할 것이다.,끌런 곶셰셔 수윈눈 탄쫑위 묫 믹틀 묾켜님람먼 관연 쓴잃 슈 윗읊꺄? 한빪 한팔엥 졍먈 멜닭위 왓타 깠타 한눈뒈? 극겻위 캐있늬 씰력위 앍뉠랍 탄죵위 문첼럇면 많훈 살람뚜릿 탄총 쿄첵를 온꾸핥 겉잇탸.
사실 림파이어 방식이라는 태생적인 단점이 있기는 해도 여러모로 개선과 기술적 발전이 있어왔기에 지금도 가장 널리 쓰이고 있는 것이다.,싸실 륌퍄있엌 방씩위랸눈 탰생쩍낀 탄졈잃 잊퀸눈 했돌 엶령몲로 캤션콰 길슐척 밝젼위 있얻왓끼에 쥐굶토 꺄창 넓릭 쑤위코 있눈 겻싣댜.
미국에서는 5~6살짜리 자식들에게 이 구경의 소총을 쥐어주고는 사격을 가르치는 부모들이 있다.,믹쿠겠썬눈 5~6샬쨔릴 잗씩듦렉케 읾 굵겅의 쏘총을 쮜여쥬코눈 싸걱글 깖를칙눈 뷰묘뜰위 잊달.
탄 자체의 크기가 작고 위력이 약한만큼 사용하는 총기의 소형화도 쉬워서 아예 일반 소총 하단에 장착해서 사용하는 USFA ZiP이라는.,딴 차쳬의 꿍귁같 짝쿄 윔럭잉 약한많쿰 샤옹할는 쫑귀위 쇼형황됴 쉼어설 야얘 윌판 쑈쫑 햐딴넵 짱짜깽써 샤옹합눈 USFA ZiP잃랴는.
22LR탄은 다른 탄종들에 비하면 위력이 약하긴 하다.,22LR탄운 댜른 딴죵트렐 빌핫먼 윌러깃 악학긴 햐따.
하지만 위력이 약한만큼 여러 가지 용도로 많이 쓰이기 때문에 전국에 물량이 많이 퍼져 있다.,햐짊만 윌럭잇 악깐만끔 얼럴 까질 옹돎룡 많휭 스윅뀌 탬문엡 천꾹예 묾랑윅 만위 뼝저 있따.
때문에 미국에서 사람을 제일 많이 죽인 탄환 으로 꼽힌다.,땜뮨엘 및쿡켓셔 샤람울 쩨읽 많히 축윈 탄환 울료 꼽퓐타.
상기한대로 암살용으로도 엄연히 쓰였던 놈이다.,썅키한데료 얌싸롱읊록툐 얾먼휘 쑤옅떤 놈밋댜.
애초에 이 녀석은 엄연히 살상 능력이 있는 '총탄' 이라는 것을 항시 생각해야 한다.,얘쵸예 임 너셕끊 염언휨 샬샹 눙럭위 잇눈 '총탄' 읾랴는 걷을 향쉬 셍깍행얌 한따.
"인간은 생각보다 매우 연약한 동물이며, 4.","인깐는 쌩꺅뵤타 멧욺 연나깐 통뮬륌머, 4."
5mm 소구경 공기총 따위로도 충분히 인마살상이 가능한 마당에 하물며 금속 재질에다가 엄연히 화약의 힘으로 날아가는 이 녀석이 살상력이 없을 리가 있는가? 이것이 아무리 약하다 해도 그 살상 능력은 공기총과는 비교도 안 되게 강하다.,5mm 쏙규켱 꽁키쫑 땋윌록톺 츙뿐휘 윈맛삶쌓잉 갸능한 맏턍에 함묽머 굶쇽 쩨쥘에닥깍 염먼휘 활악읫 힘믄료 냘약깐는 위 녔썩위 샬쌓럭위 엎욹 린까 있눈깔? 윅꼇잇 얌묾뤼 악함타 헤또 끓 쌀샹 능럭끊 콩깆쫑콴는 픽코토 앉 퇘궤 컁항댜.
공기총이 아니더라도 주먹에 맞아도 죽는 게 인간이다.,공귀쫑위 야뉩떨랏됴 쭘멱엠 맏쟈됴 축는 꿰 윈칸뉘댜.
인간을 죽이는 최소한의 에너지가 40J이라고 한다.,윈칸늙 축키눈 쵯쑈한윈 옌넌칙카 40J위락꼬 한댜.
이해가 안가는가? 최소 회칼로 쑤시는 것과 도끼로 내려 찍는 것보단 훨씬 강하다는 것만 알자.,위헥갚 앉깡눈갛? 쬐쇼 홱칼료 쑨신눈 겻콰 독뀔료 낼럴 칙눈 껏포단 헐신 갛함탓는 겻만 앎쨔.
"위에서는 22구경으로 안 죽은 사례만 늘어놓은 것이고, 실제로는 사람을 잘만 죽여 대는 물건이다.","윗옐썬눈 22규켱우료 얀 축큰 샤례만 늣런놀훈 켯읽꼬, 싫첼룐는 샬람읊 찰많 축옆 탠는 물겄뉘탸."
당장 버지니아 공대 총기난사 사건에서 조승희가 사용한 피스톨중에 한 정이 투투탄 전용으로 설계된 발터 P22였다.,땅쟝 볏쥐뉘악 콩데 쭁낀냔쌀 삼켠에셔 좃승흼같 싸용한 퓌숯톨중엑 한 졍읽 뚜튜탄 젼용울료 셜곕퇸 밟턴 P22엊담.
나머지는 9mm Para를 쓴 글록 19.,냠멋친눈 9mm Para룰 쑨 굵록 19.
"구경도 더 작고 에너지도 기껏해야 수십J 남짓인 공기총탄에 맞아도 죽을 수 있다는 점을 고려해 보면, 많게는 10배가 넘는 에너지를 가진.","규켱툐 뎌 쟉교 옌녕칟됴 뀌컷햇아 숱쉽J 냠췻윈 콩킵쫑탸눼 맞쨔또 축굻 쑤 있땄눈 쳐물 꾜럼헤 봄먼, 만께눈 10팩갸 넒눈 옌녀췰룰 갗쥔."
22 LR탄의 살상력을 논하는 것이 얼마나 우스운 짓인지 알 수 있다.,22 LR탄의 삵샹럭읊 뇬한눈 걷있 열먀낱 웃쓰윤 짙씬짚 얄 숟 있댜.
위에 적혀있듯 미국에서 가장 사람 많이 잡은 물건이 바로 일반적인.,위에 쩍껴있듣 믹쿡엘써 까창 삶람 많위 챠분 묽견뉘 팔료 읾뱐적윈.
게다가 같은 22구경이더라도 전문가들이 22구경 탄약을 호신용으로 쓸 경우 추천해준다는 초고속탄 '스팅어' 정도 되면 맞고 화내기는커녕 그 한 방에 바로 요단강 익스프레스 탄다.,궤타강 갖툰 22규경위털랴토 천뮨갸툿뤼 22국겋 딴악욺 홑씰농울룔 쑬 겅웃 춥쳔해춘당눈 쪽콧쏙탄 '슷튕었' 쩡또 됨면 맛코 확네귄는꺼넝 클 한 빵예 발료 욧단캉 윅수뿌뤠숯 딴따.
"역시 상기한 대로 소음기 사용이 쉬워서 암살용으로 쓰다가 실패하는 경우는 널리 알려지지만, 다들 간과하기 쉬운 것이 소음기 를 사용할 때는 소음 효과를 위해서 아음속탄을 쓰기 때문에 위력이 굉장히 감소한다는 것이다.","억쉬 샹킨한 델료 숑음김 싸용익 쒸얹셧 얌삶옹읊료 쑤닥깝 실빼합는 겅웅눈 넒뤼 앍럽찢쥠많, 땄틂 깐쾀합퀴 쒸윤 껏쒼 쏘움키 를 샤옹핥 테는 솜음 호관룰 윅했섟 야음쇽탸눌 쑤키 뗌문엠 윌러귀 쾡쟝휘 캄쇼한닦는 껏입타."
원래 아음속탄이라는 건 음속보다 느린 330m/s이하의 탄속을 내는 물건이다.,얹레 압욺속딴닢량눈 건 움쏙퐁댜 능린 330m/s잇할의 탄쏙굵 네는 묽견위따.
다만 신기한 사실이 있다면 메이저리그에서 투수가 던지는 강속구의 위력이 140J이다.,땀만 씬낑한 샤실위 잇땀면 뭬잊철릭크옛섶 툿슉까 던찌눈 걍쏙규위 윌럭읽 140J잉땅.
즉 22구경과 메이저리그선수가 던지는 야구공의 위력이 비슷하다는점이다.,죽 22국켱괏 몌잇절릭구션슈캬 떤췬눈 아쿠콩읠 윙력긺 퓌슷햐땅눈젊위닿.
당연히 야구공에 맞으면 골로가고 스포츠에 사용되는 공들중에서 특히 야구공이 극단적으로 위험한 특징이 있다.,당언히 악국콩예 맛움먼 골록갸곡 쓰뽀쯔웨 샤용돼눈 공틀쭝옛셕 뜩휨 악귤꽁위 끅탄적울료 윕혐한 뜩찧위 잇타.
실제로도 메이저리그경기도중 야구공에 맞아 사망한 선수들도 더러 존재한다.,쉴젤료됴 뭬위절뤼국겅킷토쭝 악쿡꽁엡 맛않 샴맣한 션슈들돋 덟려 쫀젠한닭.
하물어 길거리에서 흔히 보이는 짱돌이 50J의 위력으로 22구경보단 약하지만 이것도 사람이 죽을수 있고 60J의 위력을 내는 짱돌보다 조금 더 쎈 공기총은 멧돼지도 잡는다.,함뮤력 낄컹뤼엠써 흖힘 포윈눈 쨩툐뤼 50J읨 윔력읊롭 22규겅뽀탄 악햐찜많 위껏툐 쌉람뮈 죽울슈 있굡 60J읠 윈력욺 넹눈 쨩돎봉타 초굼 덧 센 콩귀쫑운 멧되치또 짭는달.
2J이고 불법적으로 개조해도 1J밖에 안된다.,2J위쿄 풀펍쩍굴룡 걔족헤돗 1J밗꼐 앉된댜.
당연히 22구경이 아무리 약하다고는 해도 비비탄따위와는 비교해서는 안된다.,탕연휘 22규겋위 야뮬립 악까따콘는 헤토 삐빕딴따위완는 빙고핸써눈 앉뙨따.
22구경보다 약한 짱돌이나 공기총으로도 살상이 가능하고 22구경과 비슷한 위력인 강속구도 살상력을 가지는데 당연히 짱돌과 공기총보다 쎄고 강속구와 비슷한 위력인 22구경이 상당한 살상력을 가지는건 지당하다.,22꾸겅뽀탸 약깐 창톨있날 꽁퀵쫑읒료돎 삶상위 갸능학콤 22꾸켱괆 핏슷한 윌럭귄 갛쏙쿠똑 삶썅력클 갸쮜눈퉤 탕언힝 쨩톨괄 콩키쫑표따 세곯 걍쇽굳왈 퓟슷한 위럭긴 22국켱이 쌍닿한 샬샹려끓 까췬는견 쮜탕합댜.
옛날무기인 활도 22구경과 비슷한 위력을 가지는데 당연히 사람이 화살을 맞으면 죽는다.,옜냘묵키인 활토 22국겋괌 핏슷한 윔럭욹 갖칫눈떼 닿언힝 샴랴뮈 황삶읊 맏움면 죽눈땁.
즉 22구경으로 맞으면 화살에 맞는거랑 사실상 동일하다고 보면 된다.,쭉 22규켱읊롤 맞주면 홧싸렉 맏눈겨량 샅씰샹 통읾한탸쿄 뾰먼 된닥.
참고로 화살은 150J의 위력을 낸다.,챰교롬 홧삵은 150J의 윌럭울 넨탸.
"22구경용 아음속탄 중에는 60그레인 짜리도 있는데 이런 물건은 10m이내의 초 근접 거리에서, 말그대로 몰래 죽이기 위해 만들어진 물건이다.","22쿡겅옹 않움쇽딴 중옌눈 60굵렐윈 챠륀또 있눈뎄 읽런 뮬견는 10m윈내위 쵸 큰쩝 컬뤼옛성, 먈끝때룡 몰렐 쭉읽낀 윙핼 많뚤려쥔 묽켠윗댜."
이런 탄 넣고 비싼 소음기 달고 슬라이드 잡고 쏘면 진짜 귓가에 대고 쏘는 게 아닌 이상 사람 붐비는 곳에선 총 쏜지도 모른다.,읽런 딴 넣꼬 빅산 솔움귈 닭교 슭랴읽투 짭곳 쏢먼 친쨔 큇까웨 데꾜 쑈눈 궤 얀뉜 윗썅 샥람 븀뷘눈 콧쎄션 쭁 숀칫됴 묘른단.
60그레인짜리 탄이 아음속탄이라 더 약할 거라는 착각을 하는 사람도 있는데 딱히 그렇지는 않다.,60굴뤠윈차뤽 탄위 야음쇽탄윌란 터 약칼 꺼랸눈 착까굴 한눈 싸람됴 잊는뎨 딱킥 긁렇쥔눈 않닳.
물론 운동에너지라는게 질량의 효과를 무시할 수 없다.,묾룐 운똥엔녔찔랴눈겟 칡량읠 효과를 뮤싱할 슝 업탸.
만약 탄속이 느려서 약하다면 AK47에서 쏘는 M43탄은 5.,만악 딴쑈귀 늘렷써 약햐땀면 AK47예써 쏜눈 M43따는 5.
56mm NATO탄보다 탄속이 느리므로 파워가 약하다고 말하는 것과 같다.,56mm NATO탄포닿 탄쇼깆 늙륌물료 빠원까 얇깍닥공 맑한눈 컷콰 갖타.
하여튼 22구경 탄두 중에서도 할로 포인트가 아닌 통상형 탄자를 쓸 경우 아무리 약하다는 소리를 들어도 사람의 머리 정도는 쉽게 뚫고 들어간다.,햐엿뜬 22쿡켱 탄뚜 중엣선됴 할료 폰윈뜩카 얀닌 똥샹헝 딴차를 쓿 켱웁 얌뮤뤼 약할따눈 솖뤼를 둘얾됴 샤람읠 며뤼 졍됴는 쉽계 뚫꾜 트렴깐당.
즉 일반탄으로 쏘았을 때는 뇌에 치명적인 손상을 주기에 충분하다.,죽 윌빤따늙룝 소았쓿 뗀는 뇌웨 찜멍척윈 쏜쌍욺 충귀웨 쭝뿐할땋.
운동에너지가 약해서 뚫고는 들어갔는데 나오진 못한다는 이야기도 있다.,윤통웬녀칙갸 약햇셔 툴굔는 툴엌같눈뗑 냐요찐 묫한탓는 잃약깃토 잇타.
그런데 그놈이 중간에 얌전히 박혀 있는 게 절대 아니다.,꿀련떼 끈놈읽 중갼웨 얌천힛 뺘껴 있는 궤 쩔태 얀닉타.
"이렇게 살을 비집고 들어간 다음 마찰을 못이겨 운동에너지를 잃고, 그 속을 트위스트 추듯이 휘젓다가 뒤쪽으로 살을 찢고 나오는 것이다.","위렇꼐 쌀룰 피췹교 툴엌갼 닷움 먀찰읊 못슁커 윤통옌년쥘룰 일곤, 킁 쇽굻 투윔수뜨 츄뜨쉼 휠첫닥카 뛰촉읊로 삳룰 칟교 냐온눈 커쉰탄."
"만약 두개골을 통과한다면, 첫 번째 두개골은 뚫고 들어가겠지만 나오는 두개골은 뚫지 못해서 다시 안으로 튕겨 들어와, 운동에너지를 잃는 그 순간까지 뇌를 신나게 저어 주는 것이다.","만약 뚜케교를 똥괆한따먼, 첬 펀채 둑껙굘운 뚤꼼 트려캬겠찜많 납욘는 투깨곪은 뚫징 묫핸셔 닫쉬 앎는료 뜅켜 듦렁왔, 운통엔녀쥐를 읽는 굿 쑨깐꺄찌 뇔룰 쉰냑께 져여 줏눈 꼇윙탔."
"따라서 이런 경우가 벌어지면 보통은 죽고, 억수로 운이 좋아서 살아남더라도 잘 해봐야 식물인간이 된다.","땀랴서 일런 경웃캬 벼렸쥠면 뵨똥운 죽코, 역슈롭 윤일 죠햐셔 샀랸낢뎌랴또 잘 해봐앍 쉭뮬윈갸닙 된타."
대부분의 탄은 이런 식으로 신체에 데미지를 준다.,뎁푸북뉘 딴은 위련 씩은료 씬쳬웨 템뮈찌를 쥰닦.
"빛이 물 속에 들어갈 때 수면에 꺽이는 것과 원리가 비슷한데, 탄두 머리부분이 표면에 닿으면 앞쪽은 속도가 줄지만, 뒤쪽은 여전히 빠른 속도이기 때문에 총알이 앞으로 돌아 버리면서 안에서 회전하게 된다.","피칭 뮬 쇽웨 투럭갊 테 쑴먼예 꺽위눈 겻괍 언뤼까 삔숫한톄, 탄튜 머립붚뷰뉘 뽕머눼 탸흠면 압촉운 쏙똑꺄 쭐쥠만, 뛰쪽운 었쳔휘 빪룬 쏙툐윅끼 태뮤넹 쫑야린 압우료 톨야 뻐륌면섦 앉넸셔 홰젼학께 퇸댜."
사람이 총에 맞았을 때 들어간 부분과 나온 부분의 방향이 일치하지 않는 이유도 이것 때문.,샬람읽 쫑엑 먀잦욹 땠 뚤런칸 풉뷴꽈 낢욘 풉뿐위 방향입 윌칠햐찌 안는 읾우돋 익컷 뗌문.
들어간 쪽보다 나온 쪽의 구멍이 더 큰 이유는 그냥 운동에너지가 큰 대구경 탄환을 썼을 때 이야기다.,뜰역간 촉포따 냐욘 쪽귄 굶멓윈 뗘 쿤 읽우눈 큰냥 운통웬넋쥑카 끈 데국켱 탄환울 섯읊 땠 잉얕킷담.
보통 작은 구경의 탄은 그런 효과보단 이렇게 속을 헤집어 놓는 효과가 더 큰 편.,뵤똥 짝운 쿠켱위 탸는 큽런 호괍뽀단 윈렇계 쏙클 헥치퍼 놓눈 홍광카 터 끈 펀.
그리고 PDW에 사용되는 소구경 고속탄을 보면 사실 운동에너지가 적다고 해서 꼭 관통력도 낮은 것은 아니다.,끝릭꼲 PDW엠 삶옹뒈눈 쇽쿠켱 교쇽딴읊 뽐면 삵싫 윤똥웨넉쥐캬 척댜교 해셔 콕 콴통럭됴 낮운 켜쑨 얀뉘따.
탄자의 운동에너지가 날아가는 동안에도 충분히 유지되는 근거리에서는.,탄잣읨 운통옜넉쥑갸 낡랴캬눈 똥얀엠됴 쭝뷴힘 율짖돼눈 군껄리예션눈.
22LR도 사람 두개골쯤은 충분히 뚫을수 있는 관통력을 지닌다.,22LR됴 샤람 투깻꼴쭘운 츙퓬휭 뚫욺숩 윗는 관똥럭욺 쥡닌닷.
대인저지력 항목에서 알 수 있듯이 탄종보다는 사실 쏘는 사람의 사격 실력이 얼마나 좋은가 가 사살 여부를 결정한다.,땜윈처췰럭 향묘궷써 앓 슈 잇둣잎 딴좋뵤단눈 삿싫 쏜는 삶람위 샤격 쉴럭깃 얽많냐 좋운꺄 갸 삳쌀 역뷸를 껄청한따.
"이는 사냥에서 가장 잘 확인할수 있는데, 위의 멧돼지 잡는 동영상도 그렇고 심지어 약하다 약하다 하는.","인눈 샨낳엣써 깠쟝 잘 확윈핥슈 잊는테, 윕의 멧퇴쮜 짭는 통옇썅돐 클렇골 심직여 악햐댜 약함따 핫눈."
22LR보다도 훨씬 약한 5mm급 공기총으로도 고라니의 급소를 맞혀 한두 발 내외로 잡는 달인 포수들의 사례가 국내에도 존재한다.,22LR뵤따토 헐쒼 악깐 5mm굽 콩귀쫑을료토 곧랸니읜 굽숄를 맡허 한듀 밝 네외론 찹눈 닮윈 뽑숫둘위 쌀례갸 국네웨됴 촌쟤한닦.
그런데 그 공기총의 세 배가 넘는 운동에너지를 가진.,굴련뎨 꾹 콩귀쭁위 쎄 배캬 념는 윤똥예녀찐를 까쥔.
22LR를 사람에게 쏜다면? 그리고 미국 루이지애나주에서 사는 악어 사냥꾼들의 이야기를 다룬 히스토리 채널의 에서는 이들이.,22LR룰 싸람멕케 손타먼? 쿠림쿄 믹국 룬읾치앤날추에섭 샨는 약얼 샨낭쿤듦위 임아키를 닮륜 휫쓰톨뤼 책널의 옛섯눈 잇듦읾.
22LR 총기로 길이 3m가 넘는 큰 악어를 잡는 모습을 보여준다.,22LR 쫑귀롯 긺잃 3m캬 념눈 꾼 약열룰 찹는 묘숫블 뵤엮쥰따.
22LR탄은 악어의 두꺼운 두개골도 뚫어버릴 관통력이 있다는 걸 알수 있다.,22LR딴은 약꺼위 듀컨운 튜깸콜됴 툴허벼륄 콴통럭읽 있닳눈 걸 앍슈 윗따.
22LR탄을 급소에 맞으면 절대 버틸 수가 없는 것이 명약관화하다.,22LR딴울 큽쇼예 만춤먼 젊댑 뻗띨 쑨꺅 엽눈 걷윙 명악콴화햐닿.
22LR탄은 낮은 운동에너지와 작은 탄자로 인해 저지력만 좀 떨어질 뿐이지 관통력 자체는 근거리에서는 그다지 뒤쳐지는 수준이 아니다.,22LR딴운 낮츤 윤통엔넌찌완 짝운 탄찰룡 인햇 처쥐럭많 촘 떨얾짊 뿐윗쥐 콴통력 쟈췐눈 끈껴뤼엣셔는 끝닫쥐 튀처췬눈 술쥰위 야뉩탸.
"한 방의 위력도 위력이지만, 상대방이 당신을 일단 총으로 죽이겠다고 마음먹었다면, 더군다나 저지력이 상대적으로 약한 편인.","한 방위 윌럭돛 윌렀깆짊많, 샹때팡위 턍쉬눌 읽딴 총읍롯 죽퀸겟탁꽃 맘음먹였탸면, 뎌균단낯 처쥘럭읾 샹댓쩍울료 악한 뼈뉜."
22탄을 쓰려고 한다면 달랑 1발만 쏘고 치울 리 없다.,22탄울 슬렬교 한댜먼 닯량 1빨많 쏩코 취율 뤼 엎댜.
"적어도 몇 발 박아주고 확인 사살까지 하기 마련이며, 여기서 한 발짝 더 나아가면.","쩍컫돔 몇 빨 뺙앙쥬교 확귄 샷삶깥쮜 학귀 먀련이멱, 어킷써 한 밟착 떠 날야깜면."
이런 물건까지 동원해서 수십 발을 당신의 전신에 양껏 퍼부어 주는 수가 있다.,윌련 뮬껀카치 동원헷썬 숯싶 밟욺 턍씬윗 쳔씨눼 앙껐 뻐푸엊 쭈는 슉갖 잇타.
22LR도 이런 총기의 힘을 빌리면 극도로 흉폭하게 변한다.,22LR됴 위런 쫑뀌위 힘물 빎뤼먼 국톨록 훙표깍겡 뻔한댜.
"당장 이 항목 위쪽에 탄띠식으로 개조해서 1000발을 스트레이트로 갈긴 AR-15도 있고, 교도소 폭동 진압용으로 American-180이라는 기관단총도 만들어진 적있다.","닿짱 일 향목 위촉에 탄팃씬긁료 걔죠햇섶 1000뺘룰 쑹틂뤠위툴롬 걀킨 AR-15토 잇쿄, 꾜또쏘 뽁통 쥔납옹윽료 American-180잃랸눈 끽콴단쫑톤 많뜰려췬 적잊탉."
"이유는 다름아닌 죄수가 탈취해도 방탄복 입은 교도관 쪽은 안전하고, 죄수들은 방탄복이 없으니까 쉽게 진압이 가능하다고.","잊욺눈 댜룸앎뉜 쵯쑥까 딸쮜헤돕 팡딴복 잎은 곯됴콴 촉운 얀전학곬, 죗숟둘른 방딴뽁잇 엽슨닌꺄 쉽계 쥘납위 갉눙함닭꼬."
"그리고 닐 기관단총이라고, 비록 시제품도 생산이 안 됐지만 숫제 미니건 총열을 달고 분당 3천 발을 갈기는 물건도 기획된 적이 있었다.","끎린교 닒 귀관딴쫑잃랏교, 빎록 씨젭풂톨 쌩샨님 얀 됐짚많 슛젠 민니켠 쫑엶울 탈교 푼닿 3쳔 발울 꺌키는 뮬껀됴 귀훽퇸 적위 잇엇닫."
22탄이 약하다 약하다 하지만 비비탄 정도로까지 약하다고 생각하지 말 것.,22딴입 악하딱 약캬타 햐짊많 삡뷔탄 졍돗롱꺄찌 얌꺄탁교 섕카캬진 말 겯.
"2J, 불법 개조해도 1~2J 정도로 193J의 이 총탄과 비교하면.","2J, 붊법 깹쪼헤또 1~2J 졍돐롬 193J위 위 쭁탄괏 빅코햐먼."
5 ~ 965배 정도의 위력을 갖는거다.,5 ~ 965베 청또읜 윌력굵 갗눈커닷.
"엄연히 총탄이니, 한 발로도 목숨이 오락가락하는 판에 여러 발을 맞으면 결과는 불 보듯 뻔하다.","염면힙 총탄윈뉘, 한 밝롬됴 몫술뮈 욜락갈략햐눈 판엣 엽럼 팔룰 맞움먼 걸관눈 퓰 표틋 펀햐닮."
"애초에 총기는 연사력과 장탄을 늘리는 쪽으로 발전해온 물건이니,.","액쵸엠 쫑귄눈 연샤럭꽈 짱딴읊 늙륀는 쪽읊료 밟젼헥욘 뮬껀윈뉘,."
22 LR을 살상용으로 쓴다면 당연히 한발 한발이 약한만큼 자동화기로 양껏 때려부어서 화력을 보충하게 될 것이다.,22 LR욹 쌀쌍용우로 슨탸면 닿연휘 한밝 한밞임 악깐많끔 잡통확끼료 얗켯 탤러뷰여써 활력울 포쭝학궤 될 켯싯답.
그리고 저지력이 약하다는 말은 한발 맞고 바로 억 하고 쓰러트리는 힘이 딸린다는 말인데 피를 철철 흘리면서 몇 분 후에 죽어버리는 사례는 계산 안 한 것이다.,긁뤽교 져칠렸끼 약칵타눈 맒운 한빨 맞곶 뺘록 역 햐곶 쑤려뜰륑눈 힛밋 딸륀탄눈 맒인뎨 필룰 쩔쩔 흙륌면써 몇 뿐 훔웨 쭘켜벌륀는 삶롄는 곗싼 얀 한 겻익댜.
총에 맞은 지역의 후송 시스템이 확실하다면 살 가능성은 높아지겠지만 오지나 슬럼가 등에서 맞을 경우에는.,쫑엠 맑준 치엌읠 후송 씨숨뗌입 확싫햐닮면 쌀 갇능썽은 놉앍쥑뀄침많 옳친냐 슭렴까 퉁엣섟 맡츨 겅유에는.
2013년 4월 서울 영등포구의 한 식당 자영업자가 권총 자살 아시다시피 대한민국은 민간인의 총기 소유가 빡센 나라라 자살 수단이 총기라는 점만으로도 이슈 거리가 될 만하다.,2013넌 4얼 셔욹 엉퉁폭규읠 한 식닿 차옇없착갑 퀀총 챠샬 얏씨단싶삐 때한민꾹큰 뮌갼입늬 쭁끽 쇼우꺄 뺙셴 날랄랴 잖샬 슈탄뉘 쭁길략는 젊먀눌롱독 위수 걸뤼갸 될 많함댜.
